Email,Name,Degree,Institution Name,Institution Country
Mccarty@ramos-archer.com,Keith Mccarty,PhD,Dhofar University,Oman
Davis@jones.com,David Davis,Master,East Ukrainian National University,Ukraine
Washington@munoz-love.com,Michael Washington,Master,American University of the Caribbean,Haiti
Clayton@york-burke.com,April Clayton,PhD,St Clements University - Higher Education School,Niue
Freeman@phillips.biz,Daniel Freeman,Master,University of Greenland,Greenland
Garcia@pierce.info,Lisa Garcia,Master,Tampere University of Technology,Finland
Gonzalez@campbell.info,Steven Gonzalez,Master,Bourgas Free University,Bulgaria
Booth@sims.info,Debra Booth,PhD,University of Macau,Macao
Olson@jones.com,Pamela Olson,PhD,Vidzeme University College,Latvia
Briggs@leblanc.com,Jacob Briggs,Master,Dawat University,Afghanistan
White@freeman-lewis.com,Alan White,Master,St. Joseph University Beirut,Lebanon
Brooks@kelly-castro.info,Eric Brooks,Master,University of San Marino,San Marino
Stone@owens-burgess.com,Darren Stone,PhD,Bourgas Free University,Bulgaria
Rich@simmons.info,Brian Rich,PhD,Taif University,Saudi Arabia
Glenn@wong.net,Christian Glenn,PhD,University of Canterbury,New Zealand
Wong@novak.org,Curtis Wong,Master,University of Montenegro,Montenegro
Moore@smith-mccarthy.info,Christopher Moore,Master,Koç University,Turkey
Hart@walker-hood.com,Angela Hart,PhD,Maakhir University,Somalia
Bradley@peterson-turner.biz,Parker Bradley,Master,City University of Hong Kong,Hong Kong
Woodard@cole.net,Lisa Woodard,Master,Technical University of Liberec,Czech Republic
Hawkins@ramos.com,Matthew Hawkins,PhD,University of Papua New Guinea,Papua New Guinea
Patton@watson.com,Sonya Patton,PhD,Pedagogical University of Kielce,Poland
Sullivan@johnson-jones.com,Richard Sullivan,PhD,Belarussian State Pedagogical University M. Tanka,Belarus
Davis@stewart-schneider.com,Matthew Davis,Master,Nipissing University,Canada
Barnett@nelson-ramos.biz,Dawn Barnett,Master,Bamenda University of Science & Technology,Cameroon
Kerr@cook-sweeney.org,Cynthia Kerr,Master,University of New Caledonia,New Caledonia
Simmons@morris-rivera.com,Rebecca Simmons,Master,"Fourah Bay College, University of Sierra Leone",Sierra Leone
Johnson@johnson.com,Amy Johnson,PhD,Yerevan State Medical University,Armenia
Perez@kelly.info,Tina Perez,PhD,"Webster University, Vienna",Austria
Myers@hopkins.com,James Myers,PhD,Buddhasravaka Bhikshu University,Sri Lanka
Preston@wallace.org,Maurice Preston,Master,Bamenda University of Science & Technology,Cameroon
White@alvarez-williams.com,Joshua White,PhD,Windsor University School of Medicine,Saint Kitts and Nevis
Johnson@anderson-hernandez.com,Robert Johnson,Master,Reykjavík University,Iceland
Edwards@carter-martinez.info,Deborah Edwards,PhD,"University of Science, Arts and Technology",Montserrat
Perry@bright-hall.com,Robert Perry,PhD,"Webster University, Vienna",Austria
Underwood@sheppard.com,Catherine Underwood,PhD,Floret Global University,Panama
Anderson@knight.com,Renee Anderson,Master,University of Hawaii at Hilo,United States
Yang@mccarthy.info,Courtney Yang,PhD,National University of Lesotho,Lesotho
Hanson@james.biz,Christopher Hanson,Master,"University of Prizren ""Ukshin Hoti""",Kosovo
Garcia@morse.com,Ryan Garcia,Master,University of Montenegro,Montenegro
Duncan@martinez.biz,Crystal Duncan,PhD,University of Aviation and Technology,Tunisia
Davis@cooper-morgan.biz,Sara Davis,PhD,Jönköping University College of Health Sciences,Sweden
Horton@best-morris.org,Thomas Horton,Master,American University of Paris,France
Romero@morris-jones.com,Steven Romero,Master,"Schiller International University, Madrid",Spain
Mitchell@webster.com,Kenneth Mitchell,Master,Beijing Petroleum University,China
Johnson@dennis-reynolds.com,Jimmy Johnson,Master,Armenian State Agrarian University,Armenia
Jones@mclaughlin.com,Angela Jones,Master,Westhill University,Mexico
Miller@wright-clark.net,Robert Miller,Master,University of Juba,South Sudan
Robinson@morales-smith.com,Michelle Robinson,Master,University of Swaziland,Swaziland
Williams@huffman.biz,Lisa Williams,Master,Our Lady of Fatima University,Philippines
